No_voie;BTQ;Type_voie;Voie;Total_piece;Surface_carrez;Surface_local;Type_local
347;;RUE;DU CHATEAU;3;48,22;;Appartement
4;;BD;EDOUARD BAUDOIN;1;39,11;;Appartement
20;B;RUE;MARCEAU;3;80,25;;Appartement
550;;RTE;DES VESPINS RN7;1;27,51;;Appartement
9300;;RES;LES ARPEGES BD DES ABA;2;47,33;;Appartement
27;;RUE;DU GRAND MADIER;1;25,31;;Appartement
360;;AV;DU PRADO;3;70,84;;Appartement
5076;F;PARC;DESSUARD;3;67,19;;Appartement
1194;;RUE;DE NORMANDIE;1;18,89;;Appartement
30;;ALL;DES NOISETIERS;4;105,37;;Maison
11;;RUE;ROUGET DE L ISLE;2;31,99;;Appartement
13;;RUE;BERTHE MORISOT;5;96,21;;Maison
1;;RUE;DU POHER;1;30,86;;Appartement
2;;RUE;DES JARDINS;3;66,21;;Appartement
5;;AV;DU COMMANDANT TAILLANDIER;2;45,58;;Appartement
15;;RUE;PAUL DENUCE;1;23,2;;Appartement
176;;RUE;SAINTE CATHERINE;1;13,1;;Appartement
822;G;;LA BAYNASSE SUD;2;29;;Appartement
9;;RUE;DE BELFORT;2;51,4;;Appartement
183;;RUE;MARC ANTOINE MENARD;1;16,79;;Appartement
50;;AV;ANDRE CHASSEFIERE;2;51,4;;Appartement
8;;PL;DES ETATS DU LANGUEDOC;3;68,22;;Appartement
7;;RUE;JEAN-JACQUES ROUSSEAU;4;88,45;;Maison
197;;AV;DE GRAMMONT;2;42,94;;Appartement
48;;BD;MAL FOCH;4;76,48;;Appartement
210;;RTE;DU TAILLEUR;3;48,23;;Maison
199;;RES;MER ET GOLF-LE BOUCANIER;2;49,91;;Appartement
3;;ALL;JEAN PERRIN;2;46,3;;Appartement
12;;RUE;FERDINAND BUISSON;2;47,24;;Appartement
35;;AV;DE CHAMPAGNE;4;81,09;;Appartement
26;;RUE;MESSIER;2;39,69;;Appartement
5794;;;GOLF SAINT LAURENT;3;43,85;;Appartement
5;;RUE;DE PRUNEVEAUX;4;108,78;;Appartement
118;;BD;DU GENERAL DE GAULLE;3;89,84;;Appartement
247;;RUE;DE NOTRE DAME DU THIL;2;48,35;;Appartement
34;;RUE;DE LA VILLE;1;19,11;;Appartement
15;;SQ;JEAN BAPTISTE CLEMENT;5;97,39;;Appartement
84;;AV;JEAN JAURES;1;31,73;;Appartement
54;;RUE;DE LA BUSSIERE;2;49,89;;Appartement
15;;RUE;ARTAUD;1;20,02;;Appartement
1;;AV;D ABONDANCE;2;34,86;;Appartement
950;;AV;DU MONT D ARBOIS;2;39,05;;Appartement
110;;RTE;DE LA TELECABINE;1;18,93;;Appartement
2308;;AV;DES VALLEES;4;88,59;;Appartement
22;;BD;SAINT MARCEL;2;30,05;;Appartement
45;;BD;DE MAGENTA;2;32,3;;Appartement
14;;AV;DE LA REPUBLIQUE;4;120,28;;Appartement
160;;RUE;SAINT MAUR;2;17,94;;Appartement
11;;RUE;DU MOULIN JOLY;2;28,39;;Appartement
36;;RUE;ERARD;2;18;;Appartement
220;;RUE;DE CHARENTON;3;51,44;;Appartement
17;;RUE;D AUSTERLITZ;1;10,06;;Appartement
60;A;RUE;EMERIAU;4;88,3;;Appartement
4;;RUE;SQUARE CARPEAUX;1;23,98;;Appartement
36;;AV;DE CLICHY;2;53,59;;Appartement
68;;RUE;MARCADET;2;24,3;;Appartement
16;;AV;ALEXANDRE ANQUETIN;4;61,52;;Appartement
5;;PARC;DE LA BRESLE;3;57,27;;Appartement
4;;RUE;FRANCOIS LAPERT;1;23,98;;Appartement
5;B;RUE;DE LA SOLIDARITE;2;35,32;;Appartement
4;;ALL;HELENE LAZAREFF;4;89,41;;Appartement
1;;AV;DE DENTON;5;106,19;;Appartement
15;;RUE;ROBERT DESNOS;4;67,76;;Appartement
1;;RUE;MAL DE LATTRE DE TASSIGNY;2;40,55;;Appartement
53;;RUE;DE MAREIL;5;84,31;;Appartement
1;;RUE;MAETERLINCK;3;74;;Appartement
2;;RUE;DIVISION LECLERC;2;49,16;;Appartement
;;;LES SAVELS;2;50,74;;Appartement
31;;AV;DE LA SABLIERE CAPTE;1;20,15;;Appartement
9100;;RES;LE GRAND SOLEIL;2;47,52;;Appartement
8;;ALL;DES PAQUERETTES;5;86,92;;Maison
43;;RUE;CAMPANE;2;37,24;;Appartement
78;;RUE;CARNOT;2;43,12;;Appartement
20;B;ALL;DU HAUT POITOU;1;30,42;;Appartement
9007;;RUE;DES DOUVES;4;71,03;;Appartement
14;;RUE;DU CLUZEAU;2;62,95;;Appartement
8;;RUE;GEORGES BELJEAN;2;43,54;;Appartement
2;;RUE;D ADELAIAU;5;128,34;;Appartement
6;;RUE;DE LA DIVISION LECLERC;2;43,42;;Appartement
79;;RUE;DE VARSOVIE;3;49,45;;Appartement
5;;BD;GEORGES CLEMENCEAU;3;62,1;;Appartement
32;;RUE;GEORGES THORETTON;3;59,35;;Appartement
74;;RUE;JULES GUESDE;2;52,85;;Appartement
35;;AV;SAINTE FOY;4;106,31;115;Maison
4;;ALL;JOSEPHINE;4;77,93;;Appartement
129;;ALL;JULES AUFFRET;2;46;;Appartement
1;;PL;GASTON BUSSIERE;2;24,63;;Appartement
21;;RUE;CLAUDE BERNARD;3;67,1;;Appartement
18;;RUE;DE PROVENCE;4;80;;Maison
4;;RUE;DU CLOS SAINT NICOLAS;2;48,02;;Appartement
7;;RUE;DE L EGALITE;1;16,37;;Appartement
16;;RUE;DE LA FOSSE AUX BICHES;4;72,53;;Appartement
57;;ALL;DU VEXIN;5;90,07;;Maison
9004;;RES;LES LIGNIERES;3;57,1;;Appartement
9;;RUE;NEUVE;1;41,82;;Appartement
27;;RUE;FERNAND THUILLART;6;165,11;;Appartement
2;;RUE;DENAIN;3;124,01;;Appartement
7052;;RES;LES CHENEVRIERS;1;24,32;;Appartement
7102;;PL;DE L ENGIEN;4;106,43;;Appartement
9002;;PL;DU DOCTEUR ROBERT;1;32,89;;Appartement
15;;AV;NIQUET;2;37,66;;Appartement
7;;CHE;DE SAINT LAURENT;3;58,42;;Appartement
8;;RUE;ROSSINI;4;99,04;;Appartement
27;;RUE;LAMARTINE;3;30,2;;Appartement
4;;AV;VALROSE;3;68,75;;Appartement
15;B;AV;VICTOR CAUVIN;2;56,05;;Appartement
5;;IMP;DU CHANT DE L ALOUETTE;3;55,5;;Appartement
5279;F;RUE;DU 14 JUILLET;3;53,09;;Appartement
55;;RUE;FRANCIS DAVSO;2;48,24;;Appartement
9;;RUE;BOSCARY;1;28,4;;Appartement
9;;RUE;CRUDERE;3;51,01;;Appartement
13;;BD;GUSTAVE GANAY;3;51,54;;Appartement
4;;RUE;AUX NAMPS;2;34,83;;Appartement
1;;RUE;PESTEL;1;12,44;;Appartement
1;;AV;P CASSAGNAVERE;2;53,76;;Appartement
1;;RUE;CHARLES KOECHLIN;2;52,82;792;Maison
66;;AV;DENFERT ROCHEREAU;1;32,18;;Appartement
6;;RUE;DES MENDRIES;3;49,9;;Maison
5;;RES;DE LA HAUTE RIVE;4;68,3;;Appartement
33;;RUE;ANATOLE LE BRAZ;2;54,42;;Appartement
16;H;BD;DE L ATLANTIQUE;4;64;;Appartement
19;;AV;DAUMESNIL;1;31,05;;Appartement
850;;CHE;DES GOUILLOTTES;5;127,96;;Appartement
34;B;RUE;DU FAUBOURG ST JEAN;5;106,03;;Maison
22;;RUE;THEAULON;2;32,29;;Appartement
145;;QUAI;DE BILINA;2;39,5;;Appartement
80;;RUE;DES ANEMONES;1;20;;Appartement
4;B;RUE;ARNAVIELLE;3;60,07;;Appartement
3;;RUE;DAUMESNIL;2;54;;Appartement
230;;BD;DE LA REPUBLIQUE;2;44,12;;Appartement
52;;RUE;DU TONDU;4;61,16;;Appartement
17;;RUE;DES HIRONDELLES;4;86,3;;Maison
17;;RUE;LAURENT FIGNON;2;39,23;;Appartement
7;;AV;PASTEUR;1;24,6;;Appartement
5;;RUE;HENRI HERTZ;2;42,2;;Appartement
