Code_commune;Code_departement;Code_postal;Commune;Total_population
103;1;1170;CHEVRY;2196
4;6;6160;ANTIBES;74523
88;6;6000;NICE;345528
14;1;1100;ARBENT;3442
43;8;8200;BALAN;2615
30;1;1480;BEAUREGARD;844
31;1;1100;BELLIGNAT;3886
34;1;1300;BELLEY;9582
62;83;83130;LA GARDE;122
71;1;1170;CESSY;4925
79;1;1260;CHAMPAGNE-EN-VALROMEY;842
262;1;1120;MONTLUEL;6969
408;2;2000;LAON;24970
190;3;3000;MOULINS;79
73;4;4400;ENCHASTRAYES;400
166;4;4500;RIEZ;1765
209;4;4200;SISTERON;7834
159;6;6230;VILLEFRANCHE-SUR-MER;5068
109;1;1550;COLLONGES;2272
135;1;1170;CROZET;2235
138;1;1350;CULOZ;3068
142;1;1120;DAGNEUX;4834
143;1;1220;DIVONNE-LES-BAINS;10190
148;1;1590;DORTAN;1925
153;1;1170;ECHENEVEX;2189
158;1;1550;FARGES;1065
160;1;1210;FERNEY-VOLTAIRE;10189
173;1;1170;GEX;13391
185;1;1110;PLATEAU D'HAUTEVILLE;5020
192;1;1580;IZERNORE;2338
194;1;1480;JASSANS-RIOTTIER;6439
199;1;1640;JUJURIEUX;2183
202;1;1150;LAGNIEU;7308
204;1;1130;LE POIZAT-LALLEYRIAT;750
224;1;1360;LOYETTES;3256
240;1;1580;MATAFELON-GRANGES;643
244;1;1800;MEXIMIEUX;8062
247;1;1410;MIJOUX;326
248;1;1390;MIONNAY;2251
258;1;1090;MONTCEAUX;1222
70;4;4000;DIGNE-LES-BAINS;17404
29;6;6400;CANNES;75347
79;6;6210;MANDELIEU-LA-NAPOULE;22281
83;6;6500;MENTON;30981
269;1;1130;NANTUA;3589
281;1;1210;ORNEX;4653
283;1;1100;OYONNAX;22935
345;1;1500;SAINT-DENIS-EN-BUGEY;2300
350;1;1370;SAINT-ETIENNE-DU-BOIS;2582
363;1;1640;SAINT-JEAN-LE-VIEUX;1842
390;1;1150;SAINT-VULBAS;1267
12;6;6240;BEAUSOLEIL;13488
33;6;6510;CARROS;12686
299;42;42600;SAVIGNEUX;1438
92;6;6440;PEILLON;1478
19;7;7200;AUBENAS;13255
401;1;1630;SERGY;2238
304;7;7150;SALAVAS;716
521;54;54880;THIL;1114
616;78;78770;THOIRY;6197
435;1;1210;VERSONNEX;2226
436;1;1170;VESANCY;492
